Number,City,Country,Latitude,Longitude,Temp,Humidity,Cloudiness,Windspeed
52,caravelas,BR,-17.7125,-39.2481,82.24,66,98,4.45
53,codrington,AU,-38.2667,141.9667,59.22,71,98,9.98
54,mecca,SA,21.4267,39.8261,87.58,39,36,19.77
55,ayolas,PY,-27.4,-56.9,76.64,90,30,7.76
56,luderitz,NA,-26.6481,15.1594,72.43,59,0,13.38
57,chuy,UY,-33.6971,-53.4616,75.47,79,0,3.83
58,sao joao da barra,BR,-21.6403,-41.0511,82.4,57,0,9.22
59,visnes,NO,59.3556,5.2242,27.91,80,75,11.5
60,changji,CN,44.0167,87.3167,19.4,79,100,2.24
61,vestmannaeyjar,IS,63.4427,-20.2734,33.8,100,90,31.07
62,lebu,CL,-37.6167,-73.65,58.1,82,7,14.03
63,vardo,NO,70.3705,31.1107,24.8,74,75,14.97
64,vieques,PR,18.425,-65.8329,74.08,83,20,3.44
65,izyum,UA,49.2088,37.2485,48.31,80,88,6.04
66,nanortalik,GL,60.1432,-45.2371,18.84,91,0,10.33
67,luanda,AO,-8.8368,13.2343,86.0,62,75,11.5
68,harindanga,IN,22.0383,88.3214,71.6,33,0,3.44
69,lasa,IT,46.6166,10.7002,39.15,86,0,5.75
70,penzance,GB,50.1186,-5.5371,51.87,93,40,26.46
71,el tigre,VE,8.8875,-64.2454,72.19,78,84,11.9
72,grand gaube,MU,-20.0064,57.6608,84.99,70,8,8.99
73,midland,US,31.9974,-102.0779,44.44,42,1,8.05
74,antofagasta,CL,-23.65,-70.4,68.0,64,20,8.05
75,grand baie,MU,-20.0182,57.5802,84.99,70,6,8.99
76,hualmay,PE,-11.0964,-77.6139,68.9,83,99,5.35
77,san francisco,US,37.7749,-122.4194,52.99,94,90,3.44
78,ilulissat,GL,69.2167,-51.1,-0.4,85,90,18.41
79,bilma,NE,18.6853,12.9164,81.82,14,0,13.15
80,verkhnetulomskiy,RU,68.6073,31.7962,-0.4,78,20,2.66
81,hithadhoo,MV,-0.6,73.0833,83.46,66,74,5.23
82,westport,US,41.1415,-73.3579,33.78,75,90,19.57
83,georgetown,MY,5.4112,100.3354,83.23,79,20,5.75
84,los llanos de aridane,ES,28.6585,-17.9182,64.33,73,75,4.61
85,tukrah,LY,32.5341,20.5791,65.32,49,7,14.05
86,maarianhamina,AX,60.0973,19.9348,28.4,74,90,14.97
87,tasiilaq,GL,65.6145,-37.6368,17.6,86,90,1.14
88,riyadh,SA,24.6877,46.7219,76.8,21,0,8.05
89,somerset,US,40.5668,-74.5496,30.38,80,90,10.36
90,kutum,SD,14.2,24.6667,87.57,13,0,9.89
91,bathurst,AU,-33.4166,149.5806,60.01,80,30,3.0
92,cape town,ZA,-33.9258,18.4232,85.69,29,0,5.75
93,bathsheba,BB,13.2167,-59.5167,80.6,54,20,21.85
94,asfi,MA,32.2994,-9.2372,66.63,60,56,9.53
95,glens falls,US,43.3095,-73.644,27.73,74,90,10.36
96,gonc,HU,48.4667,21.2833,35.29,86,75,11.5
97,rawson,AR,-43.3002,-65.1023,73.13,36,100,8.46
98,mwanza,TZ,-2.5167,32.9,84.2,42,20,14.97
99,boa vista,BR,2.8197,-60.6733,78.8,65,90,12.66
100,khanewal,PK,30.3,71.9333,73.4,38,0,3.69
101,margate,GB,51.3813,1.3862,53.42,86,80,1.99
102,jurm,AF,36.8648,70.8342,36.97,71,35,2.19
103,bafoulabe,ML,13.8065,-10.8321,94.26,9,46,9.71
104,mehamn,NO,71.0357,27.8492,26.6,68,75,13.8
105,zharkent,KZ,44.1628,80.0,31.08,97,92,2.42
106,simplicio mendes,BR,-7.8539,-41.9103,82.11,62,81,4.76
107,puntarenas,CR,9.9763,-84.8384,69.8,73,20,12.66
108,bafq,IR,31.6128,55.4107,62.74,25,0,2.01
109,necochea,AR,-38.5473,-58.7368,64.0,90,31,8.37
110,callaway,US,30.153,-85.5699,35.49,72,1,8.99
111,sept-iles,CA,50.2001,-66.3821,10.87,73,7,4.61
112,dingle,PH,10.9995,122.6711,75.42,90,97,8.43
113,adrar,MR,20.5022,-10.0711,82.63,14,14,15.23
114,francavilla fontana,IT,40.5306,17.5852,58.33,67,40,1.14
115,muzhi,RU,65.3667,64.6667,10.36,95,96,6.98
116,torbay,CA,47.6666,-52.7314,25.02,80,90,9.22
117,rorvik,NO,64.8621,11.2373,24.8,80,20,4.61
118,sioux lookout,CA,50.1001,-91.917,17.6,93,90,4.61
119,barranca,PE,-10.75,-77.7667,67.93,84,100,3.36
120,east london,ZA,-33.0153,27.9116,77.0,57,20,20.71
121,viedma,AR,-40.8135,-62.9967,68.0,69,9,1.01
122,bonfim,BR,3.0833,-59.95,78.37,65,91,8.97
123,mandera,KE,3.9366,41.867,96.55,17,77,11.36
124,kanniyakumari,IN,8.0833,77.5667,83.32,68,61,20.42
125,abu samrah,SY,35.3029,37.1841,64.18,41,49,11.99
126,clyde river,CA,70.4692,-68.5914,-25.6,68,1,5.75
127,itupiranga,BR,-5.1347,-49.3267,82.4,78,20,3.44
128,havoysund,NO,70.9963,24.6622,24.8,93,90,5.75
129,jalu,LY,29.0331,21.5482,70.5,28,50,10.94
130,pimentel,PE,-6.8367,-79.9342,68.0,83,0,12.66
131,urumqi,CN,43.801,87.6005,19.4,79,100,2.24
132,comodoro rivadavia,AR,-45.8667,-67.5,66.2,52,0,2.3
133,oriximina,BR,-1.7656,-55.8661,77.2,88,88,5.01
134,victoria,HK,22.2855,114.1577,65.07,81,1,1.01
135,lorica,CO,9.2365,-75.8135,77.79,89,50,3.89
136,secunda,ZA,-26.55,29.1667,57.18,81,99,9.98
137,kalmunai,LK,7.4167,81.8167,79.83,82,70,15.14
138,boksitogorsk,RU,59.474,33.8485,28.0,90,99,5.01
139,jesup,US,31.6074,-81.8854,37.87,60,75,16.11
140,corinto,GR,37.9407,22.9573,61.0,58,97,3.0
141,mokobeng,BW,-22.9965,27.6678,79.66,53,93,18.3
142,cockburn town,TC,21.4612,-71.1419,77.0,78,40,6.91
143,jacareacanga,BR,-6.2222,-57.7528,78.85,84,62,2.21
144,tilaran,CR,10.4703,-84.9671,69.8,83,0,5.75
145,arraial do cabo,BR,-22.9661,-42.0278,84.2,58,75,12.66
146,mugango,TZ,-1.6833,33.7,83.43,34,62,7.81
147,charlottesville,US,38.0293,-78.4767,33.62,60,90,8.05
148,touros,BR,-5.1989,-35.4608,82.4,69,40,16.11
149,gif-sur-yvette,FR,48.6833,2.1333,56.39,77,90,18.41
150,iquitos,PE,-3.7481,-73.2472,75.2,94,75,4.61
151,bahia blanca,AR,-38.7196,-62.2724,66.52,50,64,3.96
152,lagunas,PE,-5.2269,-75.6753,72.93,88,95,2.48
153,sabha,LY,27.0377,14.4283,68.95,28,16,17.76
154,susangerd,IR,31.5608,48.1831,75.2,29,0,6.91
155,bezopasnoye,RU,45.6483,41.936,60.39,33,0,6.71
156,acarau,BR,-2.8856,-40.12,83.88,65,94,16.6
157,hambantota,LK,6.1241,81.1185,86.0,74,40,12.66
158,aranos,NA,-24.1333,19.1167,90.68,17,1,12.86
159,christiana,ZA,-27.914,25.1611,61.11,82,100,18.52
160,plettenberg bay,ZA,-34.0527,23.3716,74.08,52,15,9.26
161,pangnirtung,CA,66.1451,-65.7125,-28.71,76,11,2.08
162,yarmouth,US,41.7057,-70.2286,42.67,93,90,16.11
163,mantua,IT,45.1667,10.7833,41.68,81,73,3.44
164,faya,SA,18.3851,42.4509,75.11,40,0,13.8
165,owando,CG,-0.4819,15.8999,99.01,39,93,0.76
166,butia,BR,-30.1197,-51.9622,80.29,73,33,2.13
167,magadi,IN,12.9667,77.2333,80.31,41,40,5.75
168,rabo de peixe,PT,37.8,-25.5833,55.47,67,40,25.32
169,vagur,FO,61.4732,-6.8119,39.6,72,38,26.71
170,rafaela,AR,-31.2503,-61.4867,67.8,78,37,3.0
171,brewster,US,41.3973,-73.6171,31.51,75,90,12.66
172,nurota,UZ,40.5614,65.6886,57.2,54,20,6.91
173,aviles,ES,43.5547,-5.9248,61.45,72,75,2.3
174,cayenne,GF,4.9333,-52.3333,77.0,100,90,2.3
175,barahona,DO,18.2085,-71.1008,73.4,94,75,3.76
176,chita,RU,52.0333,113.55,-18.4,63,5,2.24
177,bankura,IN,23.25,87.0667,70.81,22,0,4.43
178,alexandroupoli,GR,40.8475,25.8744,59.0,88,40,8.05
179,praia da vitoria,PT,38.7333,-27.0667,53.6,87,40,29.86
180,surt,LY,31.2089,16.5887,63.46,60,76,18.01
181,ilyich,KZ,40.8464,68.5067,56.59,58,82,4.03
182,coquimbo,CL,-29.9533,-71.3436,59.0,88,90,3.44
183,pishin,PK,30.5803,66.9961,56.05,33,0,13.47
184,minab,IR,27.1467,57.0801,77.0,44,20,11.5
185,hobyo,SO,5.3505,48.5268,79.45,58,94,23.51
186,chingirlau,KZ,51.095,54.0814,33.24,96,100,14.25
187,leh,IN,34.1667,77.5833,10.99,67,47,0.51
188,diffa,NE,13.3154,12.6113,91.62,10,7,11.59
189,great yarmouth,GB,52.6083,1.7305,44.82,93,90,4.61
190,sembe,CG,1.6481,14.5806,95.67,41,87,1.12
191,san lorenzo,PY,-25.3333,-57.5333,73.4,94,90,11.5
192,florianopolis,BR,-27.6146,-48.5012,82.54,78,0,4.61
193,saint george,US,37.1041,-113.5841,51.8,50,90,6.91
194,koutiala,ML,12.3917,-5.4642,91.8,9,0,11.3
195,risor,NO,58.7206,9.2342,26.29,68,75,6.91
196,zaraza,VE,9.3503,-65.3245,73.96,75,97,4.09
197,chimoio,MZ,-19.1164,33.4833,78.37,78,75,13.8
198,kinna,SE,57.5073,12.6946,28.65,93,40,10.36
199,carnarvon,AU,-24.8667,113.6333,80.6,94,90,12.66
200,camapua,BR,-19.5314,-54.0439,78.17,75,100,3.8
201,pychas,RU,56.5033,52.4409,21.99,87,96,5.77
202,bajil,YE,15.0584,43.2851,86.83,44,0,12.57
203,hofn,IS,64.2539,-15.2082,33.46,89,100,12.62
204,chutove,UA,49.7104,35.1603,35.46,97,100,0.63
205,geraldton,AU,-28.7667,114.6,80.6,61,39,18.41
206,salalah,OM,17.0151,54.0924,78.8,50,0,8.05
207,balkanabat,TM,39.5108,54.3671,60.01,34,0,15.95
208,pangody,RU,65.85,74.4859,12.4,96,96,10.85
209,shediac,CA,46.2198,-64.5411,25.38,93,90,16.11
210,eydhafushi,MV,5.1033,73.0708,82.11,71,11,22.7
211,neyshabur,IR,36.2133,58.7958,50.9,42,0,4.99
212,nouadhibou,MR,20.931,-17.0347,73.4,43,0,9.22
213,gandajika,CD,-6.75,23.95,79.39,79,83,2.75
214,itaituba,BR,-4.2761,-55.9836,77.0,100,40,4.05
215,saint marys,US,30.7305,-81.5465,39.31,56,90,21.85
216,tarauaca,BR,-8.1614,-70.7656,73.44,95,99,1.12
217,aurad,IN,18.25,77.4333,82.96,15,0,8.93
218,manicore,BR,-5.8092,-61.3003,77.02,91,94,1.97
219,tanga,TZ,-5.0667,39.1,87.69,56,8,15.23
220,santo tomas,PH,14.1079,121.1414,79.52,65,20,5.75
221,tarko-sale,RU,64.9225,77.785,7.03,95,94,12.35
222,hammel,DK,56.2576,9.8632,28.0,93,3,1.01
223,emba,KZ,48.8264,58.1442,33.06,97,100,13.0
224,lamu,KE,-2.2717,40.902,84.2,65,90,12.66
225,gamba,GA,-2.65,10.0,83.59,74,100,11.05
226,vila do maio,CV,15.1333,-23.2167,78.8,47,20,20.71
227,bhabua,IN,25.05,83.6167,66.56,37,0,4.14
228,nikki,BJ,9.9401,3.2108,95.45,10,0,7.14
229,tonj,SS,7.2737,28.6822,103.42,11,68,7.9
230,khowst,AF,33.3833,69.8833,55.24,39,34,5.14
231,gaoua,BF,10.2992,-3.2508,93.97,9,0,7.94
232,vuktyl,RU,63.8567,57.3094,16.29,95,100,10.96
233,lafia,NG,8.4833,8.5167,102.61,19,0,3.53
234,jalapa,MX,19.5333,-96.9167,50.45,91,99,1.23
235,laguna,US,38.421,-121.4238,50.79,87,90,4.61
236,berlevag,NO,70.8578,29.0864,24.58,74,75,8.05
237,wilmington,US,34.2257,-77.9447,37.65,65,75,9.22
238,williamsport,US,41.2412,-77.0011,28.08,74,90,10.36
239,aripuana,BR,-9.1667,-60.6333,74.66,97,100,2.42
240,skjervoy,NO,70.0311,20.9714,10.4,85,0,2.3
241,san carlos de bariloche,AR,-41.1456,-71.3082,56.79,67,0,1.05
242,zharkovskiy,RU,55.849,32.2697,23.22,96,54,4.68
243,road town,VG,18.4167,-64.6167,78.93,73,20,11.5
244,souillac,MU,-20.5167,57.5167,87.8,62,75,14.97
245,sakakah,SA,29.9697,40.2064,75.2,17,0,10.36
246,zhezkazgan,KZ,47.8043,67.7144,19.83,89,49,3.18
247,iqaluit,CA,63.7506,-68.5145,-22.0,76,75,5.37
248,agadez,NE,19.75,10.25,78.22,16,0,11.36
249,vallenar,CL,-28.5708,-70.7581,61.02,75,80,3.11
250,quatre cocos,MU,-20.2078,57.7625,86.32,62,75,14.97
251,porto novo,BJ,6.4965,2.6036,87.8,70,75,9.22
252,pedernales,DO,18.0384,-71.744,76.6,65,0,2.95
253,praia,CV,14.9215,-23.5087,78.8,47,20,20.71
254,ochakiv,UA,46.6128,31.5498,33.71,93,90,2.24
255,ruwi,OM,23.5996,58.5507,75.2,60,0,10.36
256,kuytun,RU,54.3419,101.5036,-8.84,90,100,2.75
257,sipe sipe,BO,-17.45,-66.3833,59.38,67,75,9.22
258,sur,OM,22.5667,59.5289,74.17,57,0,8.21
259,benjamin constant,BR,-4.3831,-70.0311,73.4,100,75,1.3
260,banda aceh,ID,5.5577,95.3222,80.71,78,94,16.15
261,kikwit,CD,-5.041,18.8162,84.99,64,99,2.46
262,knysna,ZA,-34.0363,23.0471,78.8,47,0,8.05
263,amapa,BR,1.0,-52.0,75.74,93,93,3.69
264,george town,MY,5.4112,100.3354,83.23,79,20,5.75
265,rosetta,EG,31.4044,30.4164,69.8,64,20,5.75
266,behbahan,IR,30.5959,50.2417,72.86,31,0,13.8
267,taywarah,AF,33.35,64.4167,35.29,70,2,5.28
268,ambilobe,MG,-13.2,49.05,84.49,75,100,7.07
269,sibut,CF,5.718,19.0739,103.51,18,61,5.99
270,jaguariaiva,BR,-24.2511,-49.7058,73.8,84,34,2.33
271,piacabucu,BR,-10.4056,-36.4344,82.62,70,100,13.98
272,anloga,GH,5.7947,0.8973,91.4,58,20,10.36
273,careiro da varzea,BR,-3.2003,-59.8119,79.72,94,75,1.14
274,manaure,CO,11.7751,-72.4445,75.6,80,49,13.73
275,castro,BR,-24.7911,-50.0119,72.1,84,12,3.31
276,ashdod,IL,31.8167,34.65,78.96,25,0,9.22
277,dalvik,IS,65.9702,-18.5286,15.8,67,0,5.75
278,imbituba,BR,-28.24,-48.6703,80.6,78,0,4.61
279,halifax,CA,44.6453,-63.5724,31.48,100,100,23.02
280,chateaubelair,VC,13.2833,-61.25,78.8,73,20,10.36
281,sao sebastiao,BR,-23.76,-45.4097,84.76,61,59,0.78
282,cabedelo,BR,-6.9811,-34.8339,84.2,65,75,11.5
283,hamilton,US,39.1834,-84.5333,19.18,68,1,5.75
284,mozhaysk,RU,55.5019,36.0272,21.4,97,28,2.28
285,jacarezinho,BR,-23.1606,-49.9694,79.99,72,50,0.78
286,kangaatsiaq,GL,68.3065,-53.4641,2.7,90,100,5.91
287,kasongo-lunda,CD,-6.4667,16.8167,87.42,58,58,3.36
288,warud,IN,21.4667,78.2667,81.63,15,0,3.71
289,magog,CA,45.2668,-72.1491,23.86,86,100,11.5
290,masvingo,ZW,-20.0637,30.8277,69.33,89,100,11.34
291,concordia,AR,-31.393,-58.0209,69.03,100,75,5.75
292,chicama,PE,-7.8447,-79.1469,69.39,77,84,3.65
293,tessalit,ML,20.1986,1.0114,82.38,15,0,15.88
294,ancud,CL,-41.8697,-73.8203,55.96,82,0,10.36
295,oban,GB,56.4127,-5.4706,38.52,71,100,8.01
296,puri,IN,19.8,85.85,80.6,39,0,3.44
297,san luis,AR,-33.295,-66.3356,60.57,62,59,8.16
298,bengkulu,ID,-3.8004,102.2655,80.26,84,97,4.54
299,coihaique,CL,-45.5752,-72.0662,55.4,76,20,4.61
300,xai-xai,MZ,-25.0519,33.6442,79.23,85,94,15.12
301,awbari,LY,26.5921,12.7805,70.27,27,0,18.92
302,najran,SA,17.4924,44.1277,80.6,24,0,11.5
303,mabaruma,GY,8.2,-59.7833,74.28,93,80,4.41
304,ismailia,EG,30.6043,32.2723,80.11,16,0,2.21
305,usinsk,RU,65.9939,57.5281,15.39,96,100,15.9
306,taoudenni,ML,22.6783,-3.9836,84.79,15,3,15.52
307,richards bay,ZA,-28.783,32.0377,74.41,66,100,9.89
308,calvinia,ZA,-31.4707,19.776,90.5,14,0,7.58
309,mananjary,MG,-21.2167,48.3333,86.61,61,26,9.28
310,wageningen,NL,51.9667,5.6667,39.6,100,75,9.22
311,gazli,UZ,40.1333,63.45,55.36,54,2,10.11
312,glogow,PL,51.6636,16.0845,37.99,75,100,4.0
313,harper,LR,4.375,-7.7169,83.28,75,41,6.82
314,sao caetano de odivelas,BR,-0.75,-48.02,81.28,80,44,6.53
315,muisne,EC,0.6,-80.0333,75.11,91,98,5.1
316,krasnoselkup,RU,65.7,82.4667,-4.16,92,100,15.55
317,arieseni,RO,46.4833,22.7667,33.91,100,100,3.56
318,raisio,FI,60.4859,22.169,22.73,80,90,6.91
319,remontnoye,RU,46.5614,43.6501,44.31,87,40,11.18
320,yar-sale,RU,66.8333,70.8333,12.88,96,98,10.0
321,rocha,UY,-34.4833,-54.3333,75.42,73,0,4.54
322,askarovo,RU,53.3372,58.5089,32.0,93,90,17.9
323,marawi,PH,7.9986,124.2928,73.99,93,99,5.99
324,huarmey,PE,-10.0681,-78.1522,69.08,81,99,5.21
325,lagoa,PT,39.05,-27.9833,56.1,65,43,31.61
326,peniche,PT,39.3558,-9.3811,60.66,73,100,8.99
327,imperia,IT,43.9667,7.7833,48.33,82,40,3.44
328,kotra,IN,25.8167,79.3167,73.49,27,0,4.05
329,yambio,SS,4.5721,28.3955,100.96,15,18,5.68
330,birecik,TR,37.0294,37.9903,55.4,67,20,10.36
331,adre,TD,13.4667,22.2,94.41,12,0,6.82
332,tonantins,BR,-2.8731,-67.8022,74.41,98,100,1.12
333,aksu,CN,41.1231,80.2644,32.45,69,81,4.81
334,damaturu,NG,11.747,11.9608,93.94,10,0,9.51
335,kondopoga,RU,62.2057,34.2614,10.4,92,40,6.71
336,raudeberg,NO,61.9875,5.1352,30.99,83,71,4.99
337,hvide sande,DK,56.0045,8.1294,29.64,100,75,10.36
338,semey,KZ,50.4111,80.2275,19.4,79,90,11.18
339,bandarbeyla,SO,9.4942,50.8122,77.34,54,70,20.65
340,aasiaat,GL,68.7098,-52.8699,-1.75,93,100,9.91
341,nyrob,RU,60.733,56.7202,16.72,97,100,6.04
342,oistins,BB,13.0667,-59.5333,80.6,54,20,21.85
343,bubaque,GW,11.2833,-15.8333,78.66,62,26,5.28
344,xuddur,SO,4.1213,43.8894,93.56,15,28,16.98
345,olinda,BR,-8.0089,-34.8553,82.4,57,40,10.36
346,paamiut,GL,61.994,-49.6678,7.47,86,0,19.19
347,opatija,HR,45.3392,14.3083,50.7,71,75,3.44
348,ostrovnoy,RU,68.0531,39.5131,22.5,97,100,7.31
349,inhambane,MZ,-23.865,35.3833,80.6,89,75,5.75
350,cassilandia,BR,-19.1133,-51.7342,75.9,80,100,3.76
351,muscat,OM,23.6139,58.5922,75.2,60,0,10.36
352,kumluca,TR,36.3703,30.2869,62.78,56,92,2.57
353,saray,AZ,40.5322,49.7164,50.0,87,75,20.71
354,veraval,IN,20.9,70.3667,80.06,45,0,7.16
355,gerede,TR,40.8008,32.1969,39.27,92,53,6.85
356,vitina,BA,43.2375,17.4839,55.2,58,20,2.3
357,mattru,SL,7.6244,-11.8332,97.61,38,34,0.38
358,bokoro,TD,12.3807,17.0568,95.86,9,0,11.99
359,lake shore,US,39.1071,-76.485,30.85,86,90,10.36
360,dingli,MT,35.8614,14.3822,61.61,72,20,20.71
361,narasannapeta,IN,18.4167,84.05,74.68,50,0,10.71
362,waw,SS,7.7029,27.9953,102.78,11,15,8.37
363,riviere-au-renard,CA,48.9957,-64.3971,6.8,85,90,3.44
364,acopiara,BR,-6.0953,-39.4525,81.63,55,90,5.75
365,placido de castro,BR,-10.3353,-67.1856,75.58,91,98,3.0
366,sao jose da coroa grande,BR,-8.8978,-35.1478,82.24,66,100,10.8
367,ndele,CF,8.4109,20.6473,104.05,12,10,5.61
368,namibe,AO,-15.1961,12.1522,78.78,61,14,11.18
369,honningsvag,NO,70.9821,25.9704,26.6,68,75,13.8
370,presidencia roque saenz pena,AR,-26.7852,-60.4388,75.99,98,73,4.0
371,pisco,PE,-13.7,-76.2167,69.89,83,0,3.44
372,hatfield,GB,51.7634,-0.2242,51.06,87,90,11.5
373,kiruna,SE,67.8557,20.2251,12.2,92,75,4.5
374,doume,CM,4.2333,13.45,96.64,30,52,3.22
375,saint-joseph,RE,-21.3667,55.6167,80.37,70,90,17.27
376,nantucket,US,41.2835,-70.0995,41.97,100,90,16.11
377,itarema,BR,-2.9248,-39.9167,84.06,64,100,16.35
378,songea,TZ,-10.6833,35.65,82.78,53,19,4.68
379,ashland,US,40.8167,-82.2665,23.92,80,90,14.97
380,beloha,MG,-25.1667,45.05,97.25,36,10,14.72
381,gorgan,IR,36.8387,54.4348,69.8,32,0,9.22
382,naron,ES,43.5167,-8.1528,58.75,94,75,14.97
383,tyubuk,RU,56.0552,60.9405,31.19,97,100,14.74
384,alta floresta,BR,-9.8756,-56.0861,76.86,90,31,2.57
385,ciudad bolivar,VE,8.1222,-63.5497,75.29,75,72,10.16
386,krasnovishersk,RU,60.4078,57.082,16.57,96,100,5.84
387,aksarka,RU,66.5606,67.7975,-3.5,91,100,9.53
388,caucaia,BR,-3.7361,-38.6531,83.08,65,75,19.57
389,isabela,PH,6.7085,121.9711,80.6,78,40,2.3
390,batman,TR,37.8874,41.1322,53.6,58,0,3.44
391,inirida,CO,3.8653,-67.9239,74.44,96,99,1.05
392,tim,RU,51.6222,37.1244,26.35,68,75,11.18
393,sao miguel do tapuio,BR,-5.5036,-41.3233,81.84,59,80,9.95
394,bystryy istok,RU,52.371,84.3873,17.96,93,47,2.19
395,santo domingo,DO,18.5001,-69.9886,77.72,88,40,4.32
396,gashua,NG,12.871,11.0482,91.85,10,0,8.86
397,merchtem,BE,50.9572,4.2303,51.82,93,75,16.11
398,sechura,PE,-5.5569,-80.8222,72.37,77,80,8.77
399,amalapuram,IN,16.5833,82.0167,82.4,65,20,9.22
400,mega,ET,4.05,38.3,81.18,19,51,12.15
401,pochinki,RU,54.6988,44.8668,18.59,96,17,3.76
402,saint-georges,GD,12.0564,-61.7485,80.6,69,20,17.27
403,trairi,BR,-3.2778,-39.2689,83.5,64,100,15.1
404,benguela,AO,-12.5763,13.4055,83.19,57,9,11.63
405,puerto baquerizo moreno,EC,-0.9,-89.6,77.2,85,14,14.5
406,sobradinho,BR,-12.8333,-39.1,83.39,62,54,4.07
407,ponta delgada,PT,37.7333,-25.6667,56.48,67,40,25.32
408,nizhnevartovsk,RU,60.9344,76.5531,8.6,92,0,6.71
409,nouakchott,MR,18.0858,-15.9785,82.4,9,0,10.36
410,manacapuru,BR,-3.2997,-60.6206,78.8,89,75,3.89
411,yenagoa,NG,4.9247,6.2642,95.14,44,62,3.53
412,tombouctou,ML,20.0,-3.0,81.73,16,47,17.72
413,tabas,IR,33.5959,56.9244,68.0,18,0,2.3
414,saint-augustin,CA,51.226,-58.6502,10.47,86,0,5.84
415,guiberoua,CI,6.2392,-6.1727,81.91,68,88,2.91
416,atar,MR,20.5169,-13.0499,88.32,11,0,17.83
417,okitipupa,NG,6.5047,4.7839,89.2,58,91,2.24
418,port-gentil,GA,-0.7193,8.7815,89.6,66,40,10.36
419,mpika,ZM,-11.8343,31.4529,72.05,81,99,5.26
420,ternovka,RU,51.678,41.6375,26.49,98,100,10.25
421,la palma,US,33.8464,-118.0467,55.38,100,75,0.96
422,muros,ES,42.7762,-9.0603,57.7,96,100,30.0
423,zapolyarnyy,RU,69.4154,30.8136,19.4,93,40,9.22
424,vangaindrano,MG,-23.35,47.6,86.31,70,60,10.11
425,abha,SA,18.2164,42.5053,75.04,40,0,13.8
